[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::MIGRATIONS event found (hex code: 40000053)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::MIGRATIONS unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_SW_PAGE_FAULTS_MIN event found (hex code: 40000054)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_SW_PAGE_FAULTS_MIN unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::MINOR-FAULTS event found (hex code: 40000055)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::MINOR-FAULTS unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_SW_PAGE_FAULTS_MAJ event found (hex code: 40000056)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_SW_PAGE_FAULTS_MAJ unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::MAJOR-FAULTS event found (hex code: 40000057)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::MAJOR-FAULTS unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_HW_CACHE_L1D event found (hex code: 40000058)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_HW_CACHE_L1D unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::L1-DCACHE-LOADS event found (hex code: 40000059)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::L1-DCACHE-LOADS unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::L1-DCACHE-LOAD-MISSES event found (hex code: 4000005a)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::L1-DCACHE-LOAD-MISSES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::L1-DCACHE-STORES event found (hex code: 4000005b)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::L1-DCACHE-STORES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::L1-DCACHE-STORE-MISSES event found (hex code: 4000005c)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::L1-DCACHE-STORE-MISSES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::L1-DCACHE-PREFETCHES event found (hex code: 4000005d)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::L1-DCACHE-PREFETCHES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::L1-DCACHE-PREFETCH-MISSES event found (hex code: 4000005e)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::L1-DCACHE-PREFETCH-MISSES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_HW_CACHE_L1I event found (hex code: 4000005f)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_HW_CACHE_L1I unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::L1-ICACHE-LOADS event found (hex code: 40000060)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::L1-ICACHE-LOADS unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::L1-ICACHE-LOAD-MISSES event found (hex code: 40000061)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::L1-ICACHE-LOAD-MISSES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::L1-ICACHE-PREFETCHES event found (hex code: 40000062)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::L1-ICACHE-PREFETCHES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::L1-ICACHE-PREFETCH-MISSES event found (hex code: 40000063)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::L1-ICACHE-PREFETCH-MISSES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_HW_CACHE_LL event found (hex code: 40000064)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_HW_CACHE_LL unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::LLC-LOADS event found (hex code: 40000065)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::LLC-LOADS unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::LLC-LOAD-MISSES event found (hex code: 40000066)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::LLC-LOAD-MISSES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::LLC-STORES event found (hex code: 40000067)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::LLC-STORES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::LLC-STORE-MISSES event found (hex code: 40000068)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::LLC-STORE-MISSES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::LLC-PREFETCHES event found (hex code: 40000069)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::LLC-PREFETCHES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::LLC-PREFETCH-MISSES event found (hex code: 4000006a)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::LLC-PREFETCH-MISSES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_HW_CACHE_DTLB event found (hex code: 4000006b)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_HW_CACHE_DTLB unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::DTLB-LOADS event found (hex code: 4000006c)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::DTLB-LOADS unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::DTLB-LOAD-MISSES event found (hex code: 4000006d)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::DTLB-LOAD-MISSES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::DTLB-STORES event found (hex code: 4000006e)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::DTLB-STORES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::DTLB-STORE-MISSES event found (hex code: 4000006f)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::DTLB-STORE-MISSES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::DTLB-PREFETCHES event found (hex code: 40000070)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::DTLB-PREFETCHES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::DTLB-PREFETCH-MISSES event found (hex code: 40000071)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::DTLB-PREFETCH-MISSES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_HW_CACHE_ITLB event found (hex code: 40000072)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_HW_CACHE_ITLB unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::ITLB-LOADS event found (hex code: 40000073)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::ITLB-LOADS unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::ITLB-LOAD-MISSES event found (hex code: 40000074)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::ITLB-LOAD-MISSES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_HW_CACHE_BPU event found (hex code: 40000075)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_HW_CACHE_BPU unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::BRANCH-LOADS event found (hex code: 40000076)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::BRANCH-LOADS unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::BRANCH-LOAD-MISSES event found (hex code: 40000077)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::BRANCH-LOAD-MISSES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_HW_CACHE_NODE event found (hex code: 40000078)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::PERF_COUNT_HW_CACHE_NODE unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::NODE-LOADS event found (hex code: 40000079)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::NODE-LOADS unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::NODE-LOAD-MISSES event found (hex code: 4000007a)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::NODE-LOAD-MISSES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::NODE-STORES event found (hex code: 4000007b)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::NODE-STORES unit is  and return value type is INT64 Adding to Component Events Info vector.
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::NODE-STORE-MISSES event found (hex code: 4000007c)
[Info] 	10/8/2015  12:39:58	CPapiManager::GetComponentEventsInfoGeneric	perf::NODE-STORE-MISSES unit is  and return value type is INT64 Adding to Component Events Info vector.
